,Series,Year,Month,Day,Adj Close
0,1,1962,1,2,1.6330344676971436
1,2,1962,1,3,1.6473088264465332
2,3,1962,1,4,1.6308919191360474
3,4,1962,1,5,1.5987745523452759
4,5,1962,1,8,1.5687968730926514
5,6,1962,1,9,1.5873550176620483
6,7,1962,1,10,1.5902105569839478
7,8,1962,1,11,1.60733962059021
8,9,1962,1,12,1.6101938486099243
9,10,1962,1,15,1.6173309087753296
10,11,1962,1,16,1.6002025604248047
11,12,1962,1,17,1.5745079517364502
12,13,1962,1,18,1.5787897109985352
13,14,1962,1,19,1.5802171230316162
14,15,1962,1,22,1.5773628950119019
15,16,1962,1,23,1.5616594552993774
16,17,1962,1,24,1.570224642753601
17,18,1962,1,25,1.5530952215194702
18,19,1962,1,26,1.545243263244629
19,20,1962,1,29,1.518836259841919
20,21,1962,1,30,1.4995651245117188
21,22,1962,1,31,1.5473849773406982
22,23,1962,2,1,1.5830715894699097
23,24,1962,2,2,1.5930641889572144
24,25,1962,2,5,1.5730805397033691
25,26,1962,2,6,1.574722170829773
26,27,1962,2,7,1.5761505365371704
27,28,1962,2,8,1.5775777101516724
28,29,1962,2,9,1.5889978408813477
29,30,1962,2,12,1.5904268026351929
30,31,1962,2,13,1.5647274255752563
31,32,1962,2,14,1.5618724822998047
32,33,1962,2,15,1.556161642074585
33,34,1962,2,16,1.5547343492507935
34,35,1962,2,19,1.5390293598175049
35,36,1962,2,20,1.539743423461914
36,37,1962,2,21,1.5283218622207642
37,38,1962,2,23,1.5333181619644165
38,39,1962,2,26,1.52760910987854
39,40,1962,2,27,1.5304638147354126
40,41,1962,2,28,1.5333181619644165
41,42,1962,3,1,1.5518792867660522
42,43,1962,3,2,1.5647274255752563
43,44,1962,3,5,1.5590171813964844
44,45,1962,3,6,1.5604450702667236
45,46,1962,3,7,1.565441608428955
46,47,1962,3,8,1.5690107345581055
47,48,1962,3,9,1.5790044069290161
48,49,1962,3,12,1.5775777101516724
49,50,1962,3,13,1.5761505365371704
50,51,1962,3,14,1.5732946395874023
51,52,1962,3,15,1.5704387426376343
52,53,1962,3,16,1.5775777101516724
53,54,1962,3,19,1.5818597078323364
54,55,1962,3,20,1.5718661546707153
55,56,1962,3,21,1.5732946395874023
56,57,1962,3,22,1.556161642074585
57,58,1962,3,23,1.5618724822998047
58,59,1962,3,26,1.5611591339111328
59,60,1962,3,27,1.5318905115127563
60,61,1962,3,28,1.5404574871063232
61,62,1962,3,29,1.5361742973327637
62,63,1962,3,30,1.5211834907531738
63,64,1962,4,2,1.5004823207855225
64,65,1962,4,3,1.463362216949463
65,66,1962,4,4,1.4569387435913086
66,67,1962,4,5,1.487633228302002
67,68,1962,4,6,1.4862051010131836
68,69,1962,4,9,1.487633228302002
69,70,1962,4,10,1.493343710899353
70,71,1962,4,11,1.473357081413269
71,72,1962,4,12,1.4576523303985596
72,73,1962,4,13,1.4790676832199097
73,74,1962,4,16,1.4776387214660645
74,75,1962,4,17,1.4847782850265503
75,76,1962,4,18,1.4819233417510986
76,77,1962,4,19,1.4819233417510986
77,78,1962,4,23,1.4804949760437012
78,79,1962,4,24,1.4790676832199097
79,80,1962,4,25,1.463362216949463
80,81,1962,4,26,1.4262433052062988
81,82,1962,4,27,1.3862674236297607
82,83,1962,4,30,1.29632568359375
83,84,1962,5,1,1.3191680908203125
84,85,1962,5,2,1.3491504192352295
85,86,1962,5,3,1.376988410949707
86,87,1962,5,4,1.3876961469650269
87,88,1962,5,7,1.3570019006729126
88,89,1962,5,8,1.3122367858886719
89,90,1962,5,9,1.2879638671875
90,91,1962,5,10,1.2936739921569824
91,92,1962,5,11,1.2736831903457642
92,93,1962,5,14,1.2979581356048584
93,94,1962,5,15,1.290818691253662
94,95,1962,5,16,1.3050971031188965
95,96,1962,5,17,1.2822511196136475
96,97,1962,5,18,1.2893904447555542
97,98,1962,5,21,1.2851076126098633
98,99,1962,5,22,1.24226975440979
99,100,1962,5,23,1.185868740081787
100,101,1962,5,24,1.1366069316864014
101,102,1962,5,25,1.1380341053009033
102,103,1962,5,28,1.0309412479400635
103,104,1962,5,29,1.093768835067749
104,105,1962,5,31,1.120898962020874
105,106,1962,6,1,1.099480152130127
106,107,1962,6,4,1.0280849933624268
107,108,1962,6,5,1.0398659706115723
108,109,1962,6,6,1.0437918901443481
109,110,1962,6,7,1.0566437244415283
110,111,1962,6,8,1.0602130889892578
111,112,1962,6,11,1.0252296924591064
112,113,1962,6,12,0.9570478200912476
113,114,1962,6,13,0.9213508367538452
114,115,1962,6,14,0.8738732933998108
115,116,1962,6,15,0.9524072408676147
116,117,1962,6,18,0.9416980743408203
117,118,1962,6,19,0.9595460295677185
118,119,1962,6,20,0.9367009997367859
119,120,1962,6,21,0.901716947555542
120,121,1962,6,22,0.9138535261154175
121,122,1962,6,25,0.9495514035224915
122,123,1962,6,26,0.9138535261154175
123,124,1962,6,27,0.9509795308113098
124,125,1962,6,28,0.9823934435844421
125,126,1962,6,29,0.9688272476196289
126,127,1962,7,2,0.9995275139808655
127,128,1962,7,3,1.0038114786148071
128,129,1962,7,5,0.9995275139808655
129,130,1962,7,6,0.9852481484413147
130,131,1962,7,9,1.0002422332763672
131,132,1962,7,10,1.024515986442566
132,133,1962,7,11,1.0691378116607666
133,134,1962,7,12,1.0823465585708618
134,135,1962,7,13,1.0744924545288086
135,136,1962,7,16,1.0923404693603516
136,137,1962,7,17,1.056999683380127
137,138,1962,7,18,1.0430781841278076
138,139,1962,7,19,1.049504280090332
139,140,1962,7,20,1.0623546838760376
140,141,1962,7,23,1.0652103424072266
141,142,1962,7,24,1.0373666286468506
142,143,1962,7,25,1.049504280090332
143,144,1962,7,26,1.0552163124084473
144,145,1962,7,27,1.0734210014343262
145,146,1962,7,30,1.1062633991241455
146,147,1962,7,31,1.1051924228668213
147,148,1962,8,1,1.0744924545288086
148,149,1962,8,2,1.101622223854065
149,150,1962,8,3,1.099480152130127
150,151,1962,8,6,1.0852007865905762
151,152,1962,8,7,1.0661358833312988
152,153,1962,8,8,1.0904139280319214
153,154,1962,8,9,1.0754178762435913
154,155,1962,8,10,1.0732767581939697
155,156,1962,8,13,1.0818449258804321
156,157,1962,8,14,1.102554202079773
157,158,1962,8,15,1.1039824485778809
158,159,1962,8,16,1.103268027305603
159,160,1962,8,17,1.112550973892212
160,161,1962,8,20,1.1246905326843262
161,162,1962,8,21,1.1218340396881104
162,163,1962,8,22,1.1682504415512085
163,164,1962,8,23,1.1725350618362427
164,165,1962,8,24,1.1682504415512085
165,166,1962,8,27,1.1653939485549927
166,167,1962,8,28,1.1239761114120483
167,168,1962,8,29,1.116835355758667
168,169,1962,8,30,1.1075527667999268
169,170,1962,8,31,1.1318318843841553
170,171,1962,9,4,1.1068391799926758
171,172,1962,9,5,1.093984842300415
172,173,1962,9,6,1.1082671880722046
173,174,1962,9,7,1.0918421745300293
174,175,1962,9,10,1.09755539894104
175,176,1962,9,11,1.0911282300949097
176,177,1962,9,12,1.095768928527832
177,178,1962,9,13,1.0954129695892334
178,179,1962,9,14,1.10897958278656
179,180,1962,9,17,1.1282613277435303
180,181,1962,9,18,1.1196922063827515
181,182,1962,9,19,1.103268027305603
182,183,1962,9,20,1.0932708978652954
183,184,1962,9,21,1.0761322975158691
184,185,1962,9,24,1.0340019464492798
185,186,1962,9,25,1.0547088384628296
186,187,1962,9,26,1.0154350996017456
187,188,1962,9,27,0.9997250437736511
188,189,1962,9,28,1.0097215175628662
189,190,1962,10,1,0.9722325205802917
190,191,1962,10,2,1.0007961988449097
191,192,1962,10,3,0.9954405426979065
192,193,1962,10,4,1.0218615531921387
193,194,1962,10,5,1.0290030241012573
194,195,1962,10,8,1.0275744199752808
195,196,1962,10,9,1.0461407899856567
196,197,1962,10,10,1.025789499282837
197,198,1962,10,11,1.016863226890564
198,199,1962,10,12,1.0147206783294678
199,200,1962,10,15,1.048283338546753
200,201,1962,10,16,1.0211479663848877
201,202,1962,10,17,1.0325731039047241
202,203,1962,10,18,1.0143635272979736
203,204,1962,10,19,0.9943694472312927
204,205,1962,10,22,0.979731023311615
205,206,1962,10,23,0.9425975680351257
206,207,1962,10,24,0.9711615443229675
207,208,1962,10,25,0.9668765664100647
208,209,1962,10,26,0.9468835592269897
209,210,1962,10,29,0.9840147495269775
210,211,1962,10,30,1.0047229528427124
211,212,1962,10,31,0.988300085067749
212,213,1962,11,1,1.0054374933242798
213,214,1962,11,2,1.0204335451126099
214,215,1962,11,5,1.032789707183838
215,216,1962,11,7,1.0320760011672974
216,217,1962,11,8,1.0149343013763428
217,218,1962,11,9,1.0320760011672974
218,219,1962,11,12,1.0670732259750366
219,220,1962,11,13,1.047789216041565
220,221,1962,11,14,1.0699305534362793
221,222,1962,11,15,1.0642170906066895
222,223,1962,11,16,1.0813580751419067
223,224,1962,11,19,1.0627878904342651
224,225,1962,11,20,1.0752872228622437
225,226,1962,11,21,1.0777872800827026
226,227,1962,11,23,1.10849928855896
227,228,1962,11,26,1.110641360282898
228,229,1962,11,27,1.1277834177017212
229,230,1962,11,28,1.1356396675109863
230,231,1962,11,29,1.1456393003463745
231,232,1962,11,30,1.1384977102279663
232,233,1962,12,3,1.1184977293014526
233,234,1962,12,4,1.1434967517852783
234,235,1962,12,5,1.1392124891281128
235,236,1962,12,6,1.1384977102279663
236,237,1962,12,7,1.1356396675109863
237,238,1962,12,10,1.1113557815551758
238,239,1962,12,11,1.107071042060852
239,240,1962,12,12,1.1249265670776367
240,241,1962,12,13,1.10849928855896
241,242,1962,12,14,1.1127848625183105
242,243,1962,12,17,1.0999282598495483
243,244,1962,12,18,1.0920711755752563
244,245,1962,12,19,1.1202850341796875
245,246,1962,12,20,1.1202850341796875
246,247,1962,12,21,1.1006428003311157
247,248,1962,12,24,1.125640869140625
248,249,1962,12,26,1.1249265670776367
249,250,1962,12,27,1.117069959640503
250,251,1962,12,28,1.1213558912277222
251,252,1962,12,31,1.114213466644287
252,253,1963,1,2,1.0992138385772705
253,254,1963,1,3,1.1327838897705078
254,255,1963,1,4,1.1342116594314575
255,256,1963,1,7,1.1249265670776367
256,257,1963,1,8,1.1527814865112305
257,258,1963,1,9,1.1534967422485352
258,259,1963,1,10,1.1613528728485107
259,260,1963,1,11,1.1649249792099
260,261,1963,1,14,1.183494210243225
261,262,1963,1,15,1.185636043548584
262,263,1963,1,16,1.1670669317245483
263,264,1963,1,17,1.1820659637451172
264,265,1963,1,18,1.1784939765930176
265,266,1963,1,21,1.1827802658081055
266,267,1963,1,22,1.1849218606948853
267,268,1963,1,23,1.183494210243225
268,269,1963,1,24,1.188494086265564
269,270,1963,1,25,1.195636510848999
270,271,1963,1,28,1.2127779722213745
271,272,1963,1,29,1.2049213647842407
272,273,1963,1,30,1.1984931230545044
273,274,1963,1,31,1.2106361389160156
274,275,1963,2,1,1.2106361389160156
275,276,1963,2,4,1.200636386871338
276,277,1963,2,5,1.2030655145645142
277,278,1963,2,6,1.1952061653137207
278,279,1963,2,7,1.1973501443862915
279,280,1963,2,8,1.2002073526382446
280,281,1963,2,11,1.1937779188156128
281,282,1963,2,12,1.1959211826324463
282,283,1963,2,13,1.1930630207061768
283,284,1963,2,14,1.1937779188156128
284,285,1963,2,15,1.1966347694396973
285,286,1963,2,18,1.1941347122192383
286,287,1963,2,19,1.1844903230667114
287,288,1963,2,20,1.1744880676269531
288,289,1963,2,21,1.1723458766937256
289,290,1963,2,25,1.1544857025146484
290,291,1963,2,26,1.1623433828353882
291,292,1963,2,27,1.1580581665039062
292,293,1963,2,28,1.142339825630188
293,294,1963,3,1,1.1351958513259888
294,295,1963,3,4,1.153056025505066
295,296,1963,3,5,1.1480554342269897
296,297,1963,3,6,1.1569851636886597
297,298,1963,3,7,1.1680593490600586
298,299,1963,3,8,1.1673448085784912
299,300,1963,3,11,1.1666300296783447
300,301,1963,3,12,1.1659159660339355
301,302,1963,3,13,1.1680593490600586
302,303,1963,3,14,1.1716316938400269
303,304,1963,3,15,1.1809180974960327
304,305,1963,3,18,1.170202612876892
305,306,1963,3,19,1.1716316938400269
306,307,1963,3,20,1.183062195777893
307,308,1963,3,21,1.1752029657363892
308,309,1963,3,22,1.1837760210037231
309,310,1963,3,25,1.1816326379776
310,311,1963,3,26,1.1894912719726562
311,312,1963,3,27,1.2030655145645142
312,313,1963,3,28,1.2023508548736572
313,314,1963,3,29,1.2030655145645142
314,315,1963,4,1,1.2030655145645142
315,316,1963,4,2,1.1930630207061768
316,317,1963,4,3,1.2066365480422974
317,318,1963,4,4,1.2255685329437256
318,319,1963,4,5,1.2630752325057983
319,320,1963,4,8,1.2848647832870483
320,321,1963,4,9,1.2709333896636963
321,322,1963,4,10,1.264147400856018
322,323,1963,4,11,1.2752200365066528
323,324,1963,4,15,1.2745059728622437
324,325,1963,4,16,1.26521897315979
325,326,1963,4,17,1.2587891817092896
326,327,1963,4,18,1.2587891817092896
327,328,1963,4,19,1.2859373092651367
328,329,1963,4,22,1.3059407472610474
329,330,1963,4,23,1.3173707723617554
330,331,1963,4,24,1.3216561079025269
331,332,1963,4,25,1.3277291059494019
